Русский язык,,,,,,,,,,,,,,История,,,,,,,Физика,,,,,,,,,,,,,,Информатика,,,,,,,,,,,,,,Обществознание,,,,,,,,,,,,,,,Математика,,,,,,,,,,,,
ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,,,,ЕГЭ,,,,,,,ОГЭ,,,,,
№,дата,формат,кол-во заданий,кол-во заданий (сумма),готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,тема,кол-во заданий,кто делает,готово?,,№,дата,раздел,тема,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?,,№,дата,формат,кол-во заданий,кто делает,готово?
11,25.04,13,7,7,TRUE,,11,16.04,19 (ЕГЭ),10,Даша,TRUE,,11,07.05,"1-5, 7",по 1,,TRUE,,11,05.05,10,8,,FALSE,,11,05.05,7,по 10,,FALSE,,11,02.05,11,7,,TRUE,,11,15.05,11,по 15,,TRUE,,,,Человек 1.11 Мораль. Категории морали. Нравственность. Патриотизм,10,,TRUE,,6,30.04,Общество,Социальные нормы. Отклоняющееся поведение,10,,FALSE,,11,15.04,1 2 3 3 4 7 8 9 10 12 15,11,,TRUE,,11,05.05,6-14 + 15-19,10,,TRUE
12,26.04,14,7,7,TRUE,,12,17.04,4 (ОГЭ),5,Даша,TRUE,,12,08.05,"1-5, 7",по 1,,TRUE,,12,06.05,"23, 24мкт",3 и 3,,FALSE,,12,06.05,7,по 10,,FALSE,,12,03.05,12,5,,TRUE,,12,16.05,12,по 15,,TRUE,,6,26.04,Человек 1.12 Наука. Особенности научного познания. Функции науки,10,,TRUE,,,,Общество,Социальный контроль. Семья как малая группа,10,,FALSE,,12,16.04,1 3  3 5 6 7 9 10 11 12 16,11,,TRUE,,12,06.05,6-14 + 15-19,10,,TRUE
13,27.04,15,10,10,TRUE,,13,18.04,5 (ОГЭ),10,Даша,TRUE,,13,09.05,"1-5, 7",по 1,,TRUE,,13,07.05,11,12,,FALSE,,13,07.05,8,по 10,,FALSE,,13,04.05,13,6,,TRUE,,13,17.05,13,по 3,,TRUE,,,,"Человек 1.13 Образование, его значение. Система образования в РФ",10,,TRUE,,7,01.05,Культура,Понятие культуры. Формы культуры,10,,FALSE,,13,17.04,1 2 3 3 4 6 7 9  10 12  13,11,,TRUE,,13,07.05,6-14 + 15-19,10,,TRUE
14,28.04,16,7,7,TRUE,,14,19.04,"4, 5 (ОГЭ)",по 5,Даша,TRUE,,14,10.05,"6, 8, 9-12",по 1,,TRUE,,14,08.05,12,12,,FALSE,,14,08.05,8,по 10,,FALSE,,14,05.05,14,7,,TRUE,,14,18.05,14,по 3,,TRUE,,7,27.04,"Человек 1.14 Религия, её роль. Мировые религии. Свобода совести",10,,TRUE,,,,Культура,Наука. Образование,10,,FALSE,,14,18.04,1 3 3 5 6 7 9 10 11 12 15,11,,TRUE,,14,08.05,6-14 + 15-19,10,,TRUE
15,29.04,17,10,10,TRUE,,15,20.04,9 (ЕГЭ),5,Даша,TRUE,,15,11.05,"1-5, 7",по 1,,TRUE,,15,09.05,13,12,,FALSE,,15,09.05,9,по 10,,FALSE,,15,06.05,15,6,,TRUE,,15,19.05,15,по 3,,TRUE,,,,"Человек 1.15 Искусство, его основные функции и особенности",10,,TRUE,,8,02.05,Культура,Религия. Искусство,10,,FALSE,,15,19.04,1 2 3 3  4 6 7 9 10 12 16,11,,TRUE,,15,09.05,6-14 + 15-19,10,,TRUE
16,30.04,18,10,10,TRUE,,16,21.04,10 (ЕГЭ),5,Даша,TRUE,,16,12.05,"1-5, 7",по 1,,TRUE,,16,10.05,25 оптика,3,,FALSE,,16,10.05,9,по 10,,FALSE,,16,07.05,16,6,,TRUE,,16,20.05,16,по 3,,TRUE,,8,28.04,Экономика 2.1 Экономика как наука. Главные вопросы экономики. Экономический выбор,10,,TRUE,,,,Культура,Мораль. Гуманизм. Патриотизм,10,,FALSE,,16,20.04,1 3 3 5 7 9 10 11 12 6 13,11,,TRUE,,16,10.05,6-14 + 15-19,10,,TRUE
17,01.05,19,10,10,TRUE,,17,22.04,11 (ЕГЭ),5,Даша,TRUE,,17,13.05,"1-5, 7",по 1,,TRUE,,17,11.05,14,8,,FALSE,,17,11.05,10,по 10,,FALSE,,17,08.05,17,6,,TRUE,,17,21.05,1-7,по 1,,TRUE,,,,Экономика 2.2 Экономические институты. Собственность,10,,TRUE,,9,03.05,Экономика,"Экономика, её роль в жизни общества",10,,FALSE,,17,21.04,1 2 3 3 4 7 7 9 10 12 15,11,,TRUE,,17,11.05,6-14 + 15-19,10,,TRUE
18,02.05,20,10,10,TRUE,,18,23.04,12 (ЕГЭ),5,Даша,TRUE,,18,14.05,"1-5, 7",по 1,,TRUE,,18,12.05,15,8,,FALSE,,18,12.05,10,по 10,,FALSE,,18,09.05,18,5,,TRUE,,18,22.05,8-12,по 1,,TRUE,,9,29.04,Экономика 2.3 Типы экономических систем,10,,TRUE,,,,Экономика,Товары и услуги. Ресурсы и потребности,10,,FALSE,,18,22.04,1 3 3 5 6 7 8 9 10 12 16,11,,TRUE,,18,12.05,6-14 + 15-19,10,,TRUE
19,03.05,21,5,5,TRUE,,19,24.04,13 (ЕГЭ),5,Даша,TRUE,,19,15.05,"1-5, 7",по 1,,TRUE,,19,13.05,"23, 25 э/м",3 и 3,,FALSE,,19,13.05,11,по 20,,FALSE,,19,10.05,19-21,по 4,,TRUE,,19,23.05,13-14,по 1,,TRUE,,,,Экономика 2.4 Экономическая деятельность. Рациональное поведение. Домашние хозяйства,10,,TRUE,,10,04.05,Экономика,Разделение труда и специализация,20,,FALSE,,19,23.04,1 2 3 3 4 6 7 9 10  12 13,11,,TRUE,,19,13.05,6-14 + 15-19,10,,TRUE
20,04.05,22,5,5,TRUE,,20,25.04,14 (ЕГЭ),5,Даша,TRUE,,20,16.05,"1-5, 7",по 1,,TRUE,,20,14.05,16,8,,FALSE,,20,14.05,12,по 15,,FALSE,,20,11.05,22,4,,TRUE,,20,24.05,15-16,по 1,,TRUE,,10,30.04,Экономика 2.5 Рынок и рыночный механизм. Спрос и предложение. Рыночное равновесие,20,,TRUE,,11,05.05,Экономика,Рыночный обмен. Торговля и её формы,10,,FALSE,,20,24.04,1 3 3 4 6 7 8 9 10 12 15,11,,TRUE,,20,14.05,6-14 + 15-19,10,,TRUE
